---362.23112607 seconds ---
872 760 0.919104
880 760 0.957316
872 768 0.742067
880 768 0.544984
520 776 0.671565
792 792 0.579139
800 792 0.525306
1040 792 0.436647
1048 792 0.694402
1056 792 0.428193
784 800 0.997529
792 800 0.999999
800 800 0.944454
1040 800 0.811188
1048 800 0.992327
1056 800 0.927001
440 808 0.441864
528 808 0.805023
784 808 0.981423
792 808 0.999999
1048 808 0.804815
1056 808 0.87773
432 816 0.711146
440 816 0.820595
432 824 0.714498
440 824 0.972856
432 832 0.994104
440 832 0.991615
1696 832 0.927358
432 840 0.957015
440 840 0.92291
1696 840 0.99435
1704 840 0.537659
432 848 0.445782
352 872 0.406029
344 880 0.438284
352 880 0.647665
256 912 0.547232
264 912 0.96107
256 920 0.984055
264 920 0.999982
256 928 0.999692
264 928 0.999998
272 928 0.989893
648 928 0.999314
656 928 0.995466
1584 928 0.505659
72 936 0.520764
256 936 0.998105
264 936 0.999931
272 936 0.637049
648 936 0.999923
656 936 0.564567
1600 936 0.461609
1672 936 0.9835
1680 936 0.999244
1688 936 0.998357
1696 936 0.999966
1704 936 0.999102
1712 936 0.999372
1720 936 0.680519
1728 936 0.997067
1736 936 0.544538
1768 936 0.513077
1784 936 0.749084
1792 936 0.958973
72 944 0.908916
256 944 0.722337
264 944 0.962203
640 944 0.442742
648 944 0.997325
1648 944 0.447748
1656 944 0.953365
1664 944 0.893302
1672 944 0.999999
1680 944 0.999626
1688 944 0.998876
1696 944 1.0
1704 944 0.99986
1712 944 1.0
1720 944 0.999997
1728 944 1.0
1736 944 0.999997
1744 944 0.999531
1752 944 0.99669
1760 944 0.999399
1768 944 0.999436
1776 944 0.528278
1784 944 0.981424
1792 944 0.669475
72 952 0.6924
80 952 0.401036
1616 952 0.520104
