1524,216,0.992873
1528,216,0.999828
1532,216,0.999981
1536,216,0.999958
1540,216,0.999049
1544,216,0.951419
1524,220,0.971516
1528,220,0.999277
1532,220,0.999933
1536,220,0.999923
1540,220,0.999059
1544,220,0.959101
1236,224,0.896321
1240,224,0.966498
1244,224,0.910387
1528,224,0.982815
1532,224,0.998137
1536,224,0.998245
1540,224,0.984951
764,228,0.948929
768,228,0.963747
772,228,0.923417
1236,228,0.995678
1240,228,0.999553
1244,228,0.999296
1248,228,0.984457
1532,228,0.800499
1536,228,0.820132
760,232,0.977777
764,232,0.993805
768,232,0.991809
772,232,0.962967
868,232,0.804984
1232,232,0.93846
1236,232,0.999536
1240,232,0.999977
1244,232,0.999962
1248,232,0.997386
756,236,0.956256
760,236,0.989927
764,236,0.990203
768,236,0.977707
772,236,0.886786
864,236,0.902631
868,236,0.989677
872,236,0.975807
1232,236,0.96868
1236,236,0.999827
1240,236,0.99999
1244,236,0.999957
1248,236,0.993811
756,240,0.93054
760,240,0.938017
764,240,0.86103
864,240,0.980737
868,240,0.99691
872,240,0.990895
876,240,0.820003
1232,240,0.971188
1236,240,0.999782
1240,240,0.999963
1244,240,0.999676
1248,240,0.949197
860,244,0.846387
864,244,0.984893
868,244,0.994887
872,244,0.978313
1232,244,0.914128
1236,244,0.997868
1240,244,0.998947
1244,244,0.987728
864,248,0.942167
868,248,0.961735
872,248,0.83617
1236,248,0.925708
1240,248,0.928966
940,584,0.978811
944,584,0.997512
948,584,0.996351
952,584,0.960662
940,588,0.967142
944,588,0.994773
948,588,0.988165
952,588,0.840476
940,592,0.870086
944,592,0.964538
948,592,0.914465
160,856,0.964494
164,856,0.98736
168,856,0.979228
172,856,0.914554
152,860,0.943465
156,860,0.998424
160,860,0.999904
164,860,0.999974
168,860,0.999966
172,860,0.999805
176,860,0.998077
180,860,0.973092
152,864,0.996696
156,864,0.999968
160,864,0.999999
164,864,1.0
168,864,1.0
172,864,0.999998
176,864,0.999946
180,864,0.997217
184,864,0.829023
152,868,0.998056
156,868,0.999986
160,868,1.0
164,868,1.0
168,868,1.0
172,868,1.0
176,868,0.999974
180,868,0.997859
184,868,0.861392
152,872,0.98478
156,872,0.999838
160,872,0.999995
164,872,0.999999
168,872,0.999999
172,872,0.999991
176,872,0.999746
180,872,0.987022
156,876,0.974798
160,876,0.998975
164,876,0.999823
168,876,0.999768
172,876,0.998054
176,876,0.963239
